asset_id,downloaded,processing,training,evaluation,derived_release,raw_redistribution,license_name,license_status,evidence_url
GSE114002::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114002
GSE145046::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145046
GSE217518::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217518
GSE232571::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232571
GSE232572::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232572
FAST_UTR_SIEGEL_2022::v3.1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://github.com/youryurr/fast-UTR
GSE288185::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288185
GSE256185_DART::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256185
GSE232927::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232927
GSE176581::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176581
ENCSR854RUF::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.encodeproject.org/publication-data/ENCSR854RUF/
GSE149487::v3.1,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149487
