encode_accession,file_name,path,expected_bytes,actual_bytes,status,sha256,checksum_origin,assay_context,sequence_role,label_role,license,downstream_overlap_status,admitted_as_intervention_data
ENCFF036JGU,ENCFF036JGU.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF036JGU.fastq.gz,4511888049,4511888049,VERIFIED,e4161926bcd480a6e1d8434466881fc0993d83b27fadbfd34af9ed9525c0cbaf,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF041NRK,ENCFF041NRK.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF041NRK.fastq.gz,5371243320,5371243320,VERIFIED,7b668eb7874acd760cb8062413df363b37bd36d0ee57d7569c5a6ac861b8afc5,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF050GOU,ENCFF050GOU.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF050GOU.fastq.gz,5568919599,5568919599,VERIFIED,d720187f1c5f3dc937b40e52db9b79529696b853acbdbe8314af6ebc9e4278e7,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF074CAZ,ENCFF074CAZ.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF074CAZ.fastq.gz,6702097638,6702097638,VERIFIED,e2384afb7b8e20cd839ed65f4fae8fa4447b8a042e49d08f7094c3346559210d,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF095XOM,ENCFF095XOM.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF095XOM.fastq.gz,9022977549,9022977549,VERIFIED,c82da5f15bb6ace93e2c1d60370dcb48286fc8f28fb92109cd1a92cbeadcb7f2,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF117RKS,ENCFF117RKS.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF117RKS.fastq.gz,5572346008,5572346008,VERIFIED,2a7673e65bbfa34010da2243ff9ba3755fb834de20735a3431062dc3591d2aec,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF123ZGQ,ENCFF123ZGQ.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF123ZGQ.fastq.gz,5122605053,5122605053,VERIFIED,fdcd0ffeb2addfde08c9ed8c179941f5c1dda3fb231da9b4e315c6682d1a3d8e,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF128ECB,ENCFF128ECB.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF128ECB.fastq.gz,5969540530,5969540530,VERIFIED,4de62e35bfe651e71788c1b4cd266c284238a7767141f617b21050d22efde788,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF140HKT,ENCFF140HKT.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF140HKT.fastq.gz,6400487305,6400487305,VERIFIED,e6aadb4458bb3a7c06addcac8341f2d7414004907adccbee1c71dd8eca9ee578,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
ENCFF147TCF,ENCFF147TCF.fastq.gz,/mnt/cunyuliu/mrna_editflow_p0/ENCSR854RUF/reconstructed/ENCFF147TCF.fastq.gz,7313652546,7313652546,VERIFIED,96aa8ecd60e84af42033ea3510997d537b7b2e0894b2aead9d9891138538a472,downloader_verified_manifest,MPRAu_raw_RNA_DNA_reporter_reads,observational_or_pretraining_input_candidate,not_admitted_as_intervention_label_in_D0,ENCODE_unrestricted_public_release|ENA_INSDC_free_unrestricted_access_with_citation,UNKNOWN_REQUIRES_D1_B0_AUDIT,false
