result_row_id,estimand,task_or_boundary_id,region,study_or_scope,evidence_stage,record_count,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,terminal_result_status,numeric_performance_result_available,qualified_true_a2_study_credit,external_confirmation_eligible,development_test_read,new_final_evaluation_read,guided_xeditflow_run,claim_boundary,evidence_locator
A1-01,A1_SOURCE_RELATIVE_NUMERIC_EFFECT,MEAN_RIBOSOME_LOAD,0,DEVELOPMENT_VALIDATION_NINE_TASKS,TERMINAL_DEVELOPMENT_VALIDATION,730,spearman,0.11079866716316802,mae,0.44261629135018593,standardized_mae,0.8459343551977438,TERMINAL_DEVELOPMENT_VALIDATION_NUMERIC,true,,false,false,false,false,Qualified independent evaluator task metric for Development generation-method selection; not final external confirmation or biological validation.,docs/paper/route2_v332_independent_evaluator_task_table_v1.csv
A1-02,A1_SOURCE_RELATIVE_NUMERIC_EFFECT,MPRAU_ALLELIC_SKEW_LOG2_FOLD_CHANGE,1,DEVELOPMENT_VALIDATION_NINE_TASKS,TERMINAL_DEVELOPMENT_VALIDATION,12048,spearman,-0.012674017998397819,mae,0.2075868533295187,standardized_mae,1.012863650445543,TERMINAL_DEVELOPMENT_VALIDATION_NUMERIC,true,,false,false,false,false,Qualified independent evaluator task metric for Development generation-method selection; not final external confirmation or biological validation.,docs/paper/route2_v332_independent_evaluator_task_table_v1.csv
A1-03,A1_SOURCE_RELATIVE_NUMERIC_EFFECT,PROXIMAL_POLYA_SITE_USAGE_LOG2_ODDS,1,DEVELOPMENT_VALIDATION_NINE_TASKS,TERMINAL_DEVELOPMENT_VALIDATION,2628,spearman,0.7619576378536184,mae,1.2611882690053378,standardized_mae,0.7233368809518301,TERMINAL_DEVELOPMENT_VALIDATION_NUMERIC,true,,false,false,false,false,Qualified independent evaluator task metric for Development generation-method selection; not final external confirmation or biological validation.,docs/paper/route2_v332_independent_evaluator_task_table_v1.csv
A1-04,A1_SOURCE_RELATIVE_NUMERIC_EFFECT,PUBLISHED_REF_VS_ALT_ACTIVITY_LMM_LOG2_FOLD_CHANGE,1,DEVELOPMENT_VALIDATION_NINE_TASKS,TERMINAL_DEVELOPMENT_VALIDATION,274,spearman,0.03273531993183622,mae,0.2238405851277802,standardized_mae,1.2957996346369167,TERMINAL_DEVELOPMENT_VALIDATION_NUMERIC,true,,false,false,false,false,Qualified independent evaluator task metric for Development generation-method selection; not final external confirmation or biological validation.,docs/paper/route2_v332_independent_evaluator_task_table_v1.csv
A1-05,A1_SOURCE_RELATIVE_NUMERIC_EFFECT,RNA_HALF_LIFE_MINUTES,0,DEVELOPMENT_VALIDATION_NINE_TASKS,TERMINAL_DEVELOPMENT_VALIDATION,400,spearman,-0.10916458562634956,mae,943.736902914343,standardized_mae,9.220029033415157,TERMINAL_DEVELOPMENT_VALIDATION_NUMERIC,true,,false,false,false,false,Qualified independent evaluator task metric for Development generation-method selection; not final external confirmation or biological validation.,docs/paper/route2_v332_independent_evaluator_task_table_v1.csv
A1-06,A1_SOURCE_RELATIVE_NUMERIC_EFFECT,RNA_HALF_LIFE_MINUTES,1,DEVELOPMENT_VALIDATION_NINE_TASKS,TERMINAL_DEVELOPMENT_VALIDATION,503,spearman,0.03184292898158197,mae,37.539509248073635,standardized_mae,1.7718597519698425,TERMINAL_DEVELOPMENT_VALIDATION_NUMERIC,true,,false,false,false,false,Qualified independent evaluator task metric for Development generation-method selection; not final external confirmation or biological validation.,docs/paper/route2_v332_independent_evaluator_task_table_v1.csv
A1-07,A1_SOURCE_RELATIVE_NUMERIC_EFFECT,TOTAL_POLYSOME_TRANSLATION_EFFICIENCY,1,DEVELOPMENT_VALIDATION_NINE_TASKS,TERMINAL_DEVELOPMENT_VALIDATION,1614,spearman,-0.004868134944219529,mae,0.13864185113577016,standardized_mae,1.1081501723331757,TERMINAL_DEVELOPMENT_VALIDATION_NUMERIC,true,,false,false,false,false,Qualified independent evaluator task metric for Development generation-method selection; not final external confirmation or biological validation.,docs/paper/route2_v332_independent_evaluator_task_table_v1.csv
A1-08,A1_SOURCE_RELATIVE_NUMERIC_EFFECT,te_log2_polysome_over_totalrna,0,DEVELOPMENT_VALIDATION_NINE_TASKS,TERMINAL_DEVELOPMENT_VALIDATION,48,spearman,-0.009661311333043857,mae,0.10664575246543488,standardized_mae,0.13491936394954487,TERMINAL_DEVELOPMENT_VALIDATION_NUMERIC,true,,false,false,false,false,Qualified independent evaluator task metric for Development generation-method selection; not final external confirmation or biological validation.,docs/paper/route2_v332_independent_evaluator_task_table_v1.csv
A1-09,A1_SOURCE_RELATIVE_NUMERIC_EFFECT,transcript_log2_totalrna_over_dna,0,DEVELOPMENT_VALIDATION_NINE_TASKS,TERMINAL_DEVELOPMENT_VALIDATION,48,spearman,0.1221233174120712,mae,0.12473384783758472,standardized_mae,0.15780292265602233,TERMINAL_DEVELOPMENT_VALIDATION_NUMERIC,true,,false,false,false,false,Qualified independent evaluator task metric for Development generation-method selection; not final external confirmation or biological validation.,docs/paper/route2_v332_independent_evaluator_task_table_v1.csv
A2-01,TRUE_A2_WITHIN_SOURCE_MEASURED_CANDIDATE_RANKING,GSE269595_DEVELOPMENT_LISTWISE_DATA,,GSE269595,DEVELOPMENT_EXPOSED_MATERIALIZATION,30966,development_listwise_records,30966,,,,,DATA_MATERIALIZED_PERFORMANCE_RESULT_NOT_TERMINAL,false,0,false,false,false,false,Development listwise materialization is available but grants zero qualified true-A2 study credit and is not an unseen Evaluation study.,docs/paper/route2_v332_dataset_qualification_table_v1.csv
A2-02,TRUE_A2_WITHIN_SOURCE_MEASURED_CANDIDATE_RANKING,TRUE_A2_ESTIMAND_EVALUATOR,,ROUTE2_EVALUATION_IMPLEMENTATION,IMPLEMENTATION_COMPLETE,,,,,,,,EVALUATOR_IMPLEMENTED_NO_INDEPENDENT_TERMINAL_TRUE_A2_RESULT,false,,false,false,false,false,A1 and true-A2 evaluator code exists; implementation completeness is not a numeric true-A2 benchmark result.,docs/paper/route2_v332_minimum_benchmark_package_table_v1.csv::MBP-05
A2-03,TRUE_A2_WITHIN_SOURCE_MEASURED_CANDIDATE_RANKING,LISTWISE_RANKER,,COMMON_SOURCE_RELATIVE_TASK,CONFIGURATION_ONLY,,,,,,,,CONFIGURED_NOT_TERMINAL_INDEPENDENT_BASELINE,false,,false,false,false,false,"A runnable listwise loss configuration exists, but no independently terminal selected listwise baseline result is available.",configs/route_a_v3_route2_delta_main_2m_huber_plus_listwise_lr3e4_v1.json;audits/route_a_v3_route2_neural_hpo_selection_v1.json
A2-04,TRUE_A2_WITHIN_SOURCE_MEASURED_CANDIDATE_RANKING,CLOSED_MEASURED_NDCG_UNDER_OPEN_GENERATED_SUPPORT,,SEVEN_METHOD_891_SOURCE_GENERATION_SUITE,TERMINAL_DEVELOPMENT_GENERATION,891,closed_measured_ndcg_defined_source_count_all_methods,0,,,,,UNDEFINED_BY_OPEN_GENERATED_SUPPORT,false,,false,false,false,false,Sparse recovery of measured candidates is not closed-pool true-A2 ranking; unknown generated candidates are not assigned zero gain.,audits/route_a_v3_route2_generation_action_space_geometry_v1.json
A2-05,TRUE_A2_WITHIN_SOURCE_MEASURED_CANDIDATE_RANKING,NEW_INDEPENDENT_TRUE_A2_EVALUATION,,FINAL_EVALUATION,NOT_AVAILABLE,0,final_evaluation_unexposed_canonical_records,0,,,,,NOT_AVAILABLE_NO_OUTCOME_UNEXPOSED_MEASURED_NEIGHBORHOOD_STUDY,false,0,false,false,false,false,No new convertible outcome-unexposed measured-neighborhood Evaluation study exists; no external true-A2 confirmation is claimed.,docs/paper/route2_v332_dataset_qualification_table_v1.csv
