result_row_id,analysis_layer,study_id,task_id,endpoint_id,region,assay_id,biological_context_scope,record_count,evidence_stage,critic_v2_full_spearman,critic_v2_candidate_permutation_spearman,critic_v2_source_only_spearman,critic_v2_source_edit_metadata_spearman,critic_v2_strongest_same_information_baseline_spearman,critic_v2_full_minus_strongest_baseline_spearman,critic_v2_full_standardized_mae,critic_v2_strongest_baseline_standardized_mae,critic_v2_full_minus_strongest_baseline_standardized_mae,independent_evaluator_spearman,independent_evaluator_mae,independent_evaluator_standardized_mae,historical_seed,historical_model_spearman,historical_strongest_baseline_spearman,historical_model_minus_baseline_spearman,historical_model_minus_baseline_spearman_ci95_lower,historical_model_minus_baseline_spearman_ci95_upper,historical_baseline_minus_model_mae,historical_baseline_minus_model_mae_ci95_lower,historical_baseline_minus_model_mae_ci95_upper,historical_preregistered_pass,external_confirmation_eligible,outcome_exposure_status,development_test_read,new_final_evaluation_read,guided_xeditflow_run,post_hoc_noncausal,failure_or_shift_interpretation,claim_boundary,evidence_locator
EDS-D-01,DEVELOPMENT_VALIDATION_TASK_ERROR_DIAGNOSTIC,GSE114002,MEAN_RIBOSOME_LOAD::region=0,MEAN_RIBOSOME_LOAD,5UTR,SAMPLE_2019_POLYSOME_FRACTIONATION,SAMPLE_2019_DESIGNED_LIBRARY_CONTEXT_UNRESOLVED,730,TERMINAL_FROZEN_DEVELOPMENT_VALIDATION_ONLY,0.15321493401970032,0.04570910527134861,0.05010369471280254,0.12076860416199604,0.11917400267089086,0.034040931348809464,0.9373080238036904,0.8436740384297207,0.09363398537396972,0.11079866716316802,0.44261629135018593,0.8459343551977438,,,,,,,,,,,false,DEVELOPMENT_EXPOSED,false,false,false,true,Critic V2 Spearman exceeds the strongest same-information baseline; standardized MAE is worse than that baseline. Independent-evaluator task Spearman is positive.,"Within-Development task heterogeneity and error geometry only; not external transfer, causal attribution or biological validation.",docs/paper/route2_v332_critic_v2_task_diagnostic_table_v1.csv;docs/paper/route2_v332_independent_evaluator_task_table_v1.csv;configs/route_a_v3_route2_gse114002_converter_v1.json
EDS-D-02,DEVELOPMENT_VALIDATION_TASK_ERROR_DIAGNOSTIC,ENCSR854RUF,MPRAU_ALLELIC_SKEW_LOG2_FOLD_CHANGE::region=1,MPRAU_ALLELIC_SKEW_LOG2_FOLD_CHANGE,3UTR,MPRAU_ALLELIC_REPORTER_ABUNDANCE,GM12878|HEK293FT|HEPG2|HMEC|K562|SKNSH,12048,TERMINAL_FROZEN_DEVELOPMENT_VALIDATION_ONLY,0.006936466346804398,0.0017157273914222635,-0.004755568650074985,-0.01986863246463437,0.024828783456966732,-0.017892317110162335,1.0513503696041455,1.0214351891124847,0.029915180491660864,-0.012674017998397819,0.2075868533295187,1.012863650445543,,,,,,,,,,,false,DEVELOPMENT_EXPOSED,false,false,false,true,Critic V2 Spearman does not exceed the strongest same-information baseline; standardized MAE is worse than that baseline. Independent-evaluator task Spearman is non-positive.,"Within-Development task heterogeneity and error geometry only; not external transfer, causal attribution or biological validation.",docs/paper/route2_v332_critic_v2_task_diagnostic_table_v1.csv;docs/paper/route2_v332_independent_evaluator_task_table_v1.csv;configs/route_a_v3_route2_encsr854ruf_converter_v1.json
EDS-D-03,DEVELOPMENT_VALIDATION_TASK_ERROR_DIAGNOSTIC,GSE269595,PROXIMAL_POLYA_SITE_USAGE_LOG2_ODDS::region=1,PROXIMAL_POLYA_SITE_USAGE_LOG2_ODDS,3UTR,KOWALSKI_2024_APA_MPRA_HEK293FT,HEK293FT;perturbations=CSTF3|NT|NUDT21;distal_reporters=CCT6A_moduleA|CDK1_moduleB|TMEM106C_moduleB|TMEM237_moduleA|bGH,2628,TERMINAL_FROZEN_DEVELOPMENT_VALIDATION_ONLY,0.7027068860657334,0.564821578709551,0.03250330916104257,0.641259838900413,0.7307561230267361,-0.0280492369610027,0.8101545805815185,0.751677106543928,0.058477474037590405,0.7619576378536184,1.2611882690053378,0.7233368809518301,,,,,,,,,,,false,DEVELOPMENT_EXPOSED,false,false,false,true,Critic V2 Spearman does not exceed the strongest same-information baseline; standardized MAE is worse than that baseline. Independent-evaluator task Spearman is positive.,"Within-Development task heterogeneity and error geometry only; not external transfer, causal attribution or biological validation.",docs/paper/route2_v332_critic_v2_task_diagnostic_table_v1.csv;docs/paper/route2_v332_independent_evaluator_task_table_v1.csv;configs/route_a_v3_route2_gse269595_converter_v1.json
EDS-D-04,DEVELOPMENT_VALIDATION_TASK_ERROR_DIAGNOSTIC,GSE186455,PUBLISHED_REF_VS_ALT_ACTIVITY_LMM_LOG2_FOLD_CHANGE::region=1,PUBLISHED_REF_VS_ALT_ACTIVITY_LMM_LOG2_FOLD_CHANGE,3UTR,CRE_DEPENDENT_3UTR_MPRA,N2A_TRANSCRIPT_ABUNDANCE|VGLUT_TRANSCRIPT_ABUNDANCE,274,TERMINAL_FROZEN_DEVELOPMENT_VALIDATION_ONLY,0.004394162174954733,0.0018654782939754398,-0.10141452972441178,0.01177711519549956,-0.0052438111113798785,0.009637973286334612,1.3237192900715409,1.2831616994115884,0.04055759065995246,0.03273531993183622,0.2238405851277802,1.2957996346369167,,,,,,,,,,,false,DEVELOPMENT_EXPOSED,false,false,false,true,Critic V2 Spearman exceeds the strongest same-information baseline; standardized MAE is worse than that baseline. Independent-evaluator task Spearman is positive.,"Within-Development task heterogeneity and error geometry only; not external transfer, causal attribution or biological validation.",docs/paper/route2_v332_critic_v2_task_diagnostic_table_v1.csv;docs/paper/route2_v332_independent_evaluator_task_table_v1.csv;configs/route_a_v3_route2_gse186455_converter_v1.json
EDS-D-05,DEVELOPMENT_VALIDATION_TASK_ERROR_DIAGNOSTIC,GSE217518,RNA_HALF_LIFE_MINUTES::region=0,RNA_HALF_LIFE_MINUTES,5UTR,UTR_HALF_LIFE_MPRA,HEK293T|SH_SY5Y,400,TERMINAL_FROZEN_DEVELOPMENT_VALIDATION_ONLY,-0.0006535045082330172,-0.07424413956942531,-0.015319955533527541,0.011610712772428497,-0.05221326628041117,0.05155976177217815,9.86838759978691,9.217991497956865,0.6503961018300455,-0.10916458562634956,943.736902914343,9.220029033415157,,,,,,,,,,,false,DEVELOPMENT_EXPOSED,false,false,false,true,Critic V2 Spearman exceeds the strongest same-information baseline; standardized MAE is worse than that baseline. Independent-evaluator task Spearman is non-positive.,"Within-Development task heterogeneity and error geometry only; not external transfer, causal attribution or biological validation.",docs/paper/route2_v332_critic_v2_task_diagnostic_table_v1.csv;docs/paper/route2_v332_independent_evaluator_task_table_v1.csv;configs/route_a_v3_route2_gse217518_converter_v1.json
EDS-D-06,DEVELOPMENT_VALIDATION_TASK_ERROR_DIAGNOSTIC,GSE217518,RNA_HALF_LIFE_MINUTES::region=1,RNA_HALF_LIFE_MINUTES,3UTR,UTR_HALF_LIFE_MPRA,HEK293T|SH_SY5Y,503,TERMINAL_FROZEN_DEVELOPMENT_VALIDATION_ONLY,-0.021820326819175947,0.021735703280835475,0.0011593962107675213,-0.021776150479535943,-0.002951462162332399,-0.018868864656843547,1.9479728320180245,1.8069282489019645,0.14104458311606005,0.03184292898158197,37.539509248073635,1.7718597519698425,,,,,,,,,,,false,DEVELOPMENT_EXPOSED,false,false,false,true,Critic V2 Spearman does not exceed the strongest same-information baseline; standardized MAE is worse than that baseline. Independent-evaluator task Spearman is positive.,"Within-Development task heterogeneity and error geometry only; not external transfer, causal attribution or biological validation.",docs/paper/route2_v332_critic_v2_task_diagnostic_table_v1.csv;docs/paper/route2_v332_independent_evaluator_task_table_v1.csv;configs/route_a_v3_route2_gse217518_converter_v1.json
EDS-D-07,DEVELOPMENT_VALIDATION_TASK_ERROR_DIAGNOSTIC,GSE200304,TOTAL_POLYSOME_TRANSLATION_EFFICIENCY::region=1,TOTAL_POLYSOME_TRANSLATION_EFFICIENCY,3UTR,POLYSOME_FRACTIONATION_MUTATIONAL_MPRA,GSE200304_3UTR_MUTATIONAL_MPRA,1614,TERMINAL_FROZEN_DEVELOPMENT_VALIDATION_ONLY,0.016417356743091572,0.03403287618823207,-0.013653478999852264,-0.022350756272115458,-0.0265543367638484,0.04297169350693997,1.2829290116637004,1.125109762586006,0.1578192490776944,-0.004868134944219529,0.13864185113577016,1.1081501723331757,,,,,,,,,,,false,DEVELOPMENT_EXPOSED,false,false,false,true,Critic V2 Spearman exceeds the strongest same-information baseline; standardized MAE is worse than that baseline. Independent-evaluator task Spearman is non-positive.,"Within-Development task heterogeneity and error geometry only; not external transfer, causal attribution or biological validation.",docs/paper/route2_v332_critic_v2_task_diagnostic_table_v1.csv;docs/paper/route2_v332_independent_evaluator_task_table_v1.csv;configs/route_a_v3_route2_gse200304_converter_v1.json
EDS-D-08,DEVELOPMENT_VALIDATION_TASK_ERROR_DIAGNOSTIC,GSE149487,te_log2_polysome_over_totalrna::region=0,te_log2_polysome_over_totalrna,5UTR,PLUMAGE_BARCODE_MPRA,293T,48,TERMINAL_FROZEN_DEVELOPMENT_VALIDATION_ONLY,0.0786276304808456,0.15398563940102247,0.01970416616654998,-0.08442369603636969,0.1746634824142423,-0.09603585193339668,1.3906488109423663,0.0822659564607117,1.3083828544816545,-0.009661311333043857,0.10664575246543488,0.13491936394954487,,,,,,,,,,,false,DEVELOPMENT_EXPOSED,false,false,false,true,Critic V2 Spearman does not exceed the strongest same-information baseline; standardized MAE is worse than that baseline. Independent-evaluator task Spearman is non-positive.,"Within-Development task heterogeneity and error geometry only; not external transfer, causal attribution or biological validation.",docs/paper/route2_v332_critic_v2_task_diagnostic_table_v1.csv;docs/paper/route2_v332_independent_evaluator_task_table_v1.csv;configs/route_a_v3_route2_gse149487_converter_v1.json
EDS-D-09,DEVELOPMENT_VALIDATION_TASK_ERROR_DIAGNOSTIC,GSE149487,transcript_log2_totalrna_over_dna::region=0,transcript_log2_totalrna_over_dna,5UTR,PLUMAGE_BARCODE_MPRA,293T,48,TERMINAL_FROZEN_DEVELOPMENT_VALIDATION_ONLY,0.10751236417832291,-0.02795280715241491,0.19345908599885436,0.1420234033534423,0.22297003907946156,-0.11545767490113865,1.3929621434702615,0.12767706769227516,1.2652850757779863,0.1221233174120712,0.12473384783758472,0.15780292265602233,,,,,,,,,,,false,DEVELOPMENT_EXPOSED,false,false,false,true,Critic V2 Spearman does not exceed the strongest same-information baseline; standardized MAE is worse than that baseline. Independent-evaluator task Spearman is positive.,"Within-Development task heterogeneity and error geometry only; not external transfer, causal attribution or biological validation.",docs/paper/route2_v332_critic_v2_task_diagnostic_table_v1.csv;docs/paper/route2_v332_independent_evaluator_task_table_v1.csv;configs/route_a_v3_route2_gse149487_converter_v1.json
EDS-H-01,HISTORICAL_OUTCOME_EXPOSED_ZERO_SHOT_DOMAIN_SHIFT,GSE232572,GSE232572::historical_zero_shot,GSE232572|ln_activity_ratio_alt_over_ref,3UTR,GSE232572_MAPUTR_HELA,GSE232572|HeLa,8068,HISTORICALLY_OUTCOME_EXPOSED_TRANSFER_DIAGNOSTIC_NOT_FINAL_CONFIRMATION,,,,,,,,,,,,,20260816,-0.010941527221892145,-0.031243974054172684,0.020302446832280538,-0.011728708071697243,0.05541335827944692,-0.18983225690001593,-0.19585186624289078,-0.18345103771880084,false,false,HISTORICALLY_OUTCOME_EXPOSED_NOT_FINAL_CONFIRMATION,false,false,false,false,Historical zero-shot rank point improvement does not establish stable transfer; the preregistered cross-seed rule fails and MAE favors the baseline for this seed.,Negative historical transfer evidence only; outcome exposure prohibits use as an unbiased final confirmation.,audits/route_a_v3_route2_gse232572_zero_shot_summary_v1.json;configs/route_a_v3_route2_gse232572_converter_v1.json;docs/paper/route2_v332_dataset_qualification_table_v1.csv
