matrix_row_id,track,comparison_group,method_id,scientific_role,task_scope,result_status,primary_metric_name,primary_metric_value,secondary_metric_name,secondary_metric_value,train_record_count,validation_record_count,source_count,training_seed,physical_gpu_index,gpu_cohort_status,trainable_parameter_count,frozen_parameter_count,total_effective_parameter_count,training_epochs,optimizer_steps,selected_epoch,action_space,edit_budget_set,candidate_count,candidate_cap_per_source,critic_forward_cap_per_source,total_forward_equivalent_cap_per_source,observed_mean_total_forward_equivalents_per_source,peak_vram_mb,wall_time_seconds,wall_time_status,independent_scoring_wall_time_seconds,source_pool_match_status,split_match_status,input_information_match_status,training_or_hpo_budget_match_status,generation_budget_match_status,headline_comparison_eligible,numeric_result_available,development_test_read,new_final_evaluation_read,guided_required,guided_executed,claim_boundary,evidence_locator
P-MB-01,PREDICTION,CRITIC_V2_SAME_BUDGET_CONTROL_SCREEN,critic_v2_full,CRITIC_V2_FULL_SOURCE_CANDIDATE_EDIT,NINE_TASK_TRANSFERABLE_CONTEXT,EXECUTED_TERMINAL_CRITIC_V2_CONTROL,task_macro_spearman,0.11637066318689378,task_macro_standardized_mae,2.222825851326906,89580,18293,,20260825,2,A100_80GB_PHYSICAL_GPU_RECORDED_WITHIN_GPU0_5,9342914,113389056,122731970,100,559900,98,,,,,,,,967.45703125,140326.820738554,RECORDED_IN_CENTRAL_TERMINAL_LEDGER,,COMMON_FROZEN_DEVELOPMENT_MANIFEST,EXACT_FIXED_GROUPED_TRAIN_VALIDATION_SPLIT,SOURCE_AND_CANDIDATE_SEQUENCE_EDIT_CONTEXT,EXACT_MATCH_WITHIN_CRITIC_V2_SCREEN,NOT_APPLICABLE_PREDICTION,true,true,false,false,false,false,"Exact-matched Critic V2 Development control-screen arm; only the full arm enters the frozen hurdle comparison, and no row is external confirmation.",audits/route_a_v3_route2_v332_matched_budget_terminal_input_snapshot_v1.json;audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
P-MB-02,PREDICTION,CRITIC_V2_SAME_BUDGET_CONTROL_SCREEN,critic_v2_candidate_permutation,CRITIC_V2_MATCHED_CANDIDATE_PERMUTATION_CONTROL,NINE_TASK_TRANSFERABLE_CONTEXT,EXECUTED_TERMINAL_CRITIC_V2_CONTROL,task_macro_spearman,0.08018546242383856,task_macro_standardized_mae,2.3963102262002614,89580,18293,,20260825,4,A100_80GB_PHYSICAL_GPU_RECORDED_WITHIN_GPU0_5,9342914,113389056,122731970,100,559900,12,,,,,,,,967.45703125,122424.6802546978,RECORDED_IN_CENTRAL_TERMINAL_LEDGER,,COMMON_FROZEN_DEVELOPMENT_MANIFEST,EXACT_FIXED_GROUPED_TRAIN_VALIDATION_SPLIT,SOURCE_PLUS_WITHIN_SOURCE_TASK_PERMUTED_TRAIN_CANDIDATE,EXACT_MATCH_WITHIN_CRITIC_V2_SCREEN,NOT_APPLICABLE_PREDICTION,false,true,false,false,false,false,"Exact-matched Critic V2 Development control-screen arm; only the full arm enters the frozen hurdle comparison, and no row is external confirmation.",audits/route_a_v3_route2_v332_matched_budget_terminal_input_snapshot_v1.json;audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
P-MB-03,PREDICTION,CRITIC_V2_SAME_BUDGET_CONTROL_SCREEN,critic_v2_source_only,CRITIC_V2_PARAMETER_MATCHED_SOURCE_ONLY_CONTROL,NINE_TASK_TRANSFERABLE_CONTEXT,EXECUTED_TERMINAL_CRITIC_V2_CONTROL,task_macro_spearman,0.017976235482461158,task_macro_standardized_mae,2.0924846890488147,89580,18293,,20260825,3,A100_80GB_PHYSICAL_GPU_RECORDED_WITHIN_GPU0_5,9342914,113389056,122731970,100,559900,1,,,,,,,,564.80078125,102260.38430857658,RECORDED_IN_CENTRAL_TERMINAL_LEDGER,,COMMON_FROZEN_DEVELOPMENT_MANIFEST,EXACT_FIXED_GROUPED_TRAIN_VALIDATION_SPLIT,SOURCE_ONLY_PARAMETER_MATCHED_NO_CANDIDATE,EXACT_MATCH_WITHIN_CRITIC_V2_SCREEN,NOT_APPLICABLE_PREDICTION,false,true,false,false,false,false,"Exact-matched Critic V2 Development control-screen arm; only the full arm enters the frozen hurdle comparison, and no row is external confirmation.",audits/route_a_v3_route2_v332_matched_budget_terminal_input_snapshot_v1.json;audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
P-MB-04,PREDICTION,CRITIC_V2_SAME_BUDGET_CONTROL_SCREEN,critic_v2_source_edit_metadata,CRITIC_V2_PARAMETER_MATCHED_SOURCE_EDIT_METADATA_NO_CANDIDATE_GLOBAL_CONTROL,NINE_TASK_TRANSFERABLE_CONTEXT,EXECUTED_TERMINAL_CRITIC_V2_CONTROL,task_macro_spearman,0.08655782657012488,task_macro_standardized_mae,2.1263093305687955,89580,18293,,20260825,5,A100_80GB_PHYSICAL_GPU_RECORDED_WITHIN_GPU0_5,9342914,113389056,122731970,100,559900,2,,,,,,,,967.45703125,125947.43760418892,RECORDED_IN_CENTRAL_TERMINAL_LEDGER,,COMMON_FROZEN_DEVELOPMENT_MANIFEST,EXACT_FIXED_GROUPED_TRAIN_VALIDATION_SPLIT,SOURCE_PLUS_EDIT_METADATA_NO_CANDIDATE_SEQUENCE_PARAMETER_MATCHED,EXACT_MATCH_WITHIN_CRITIC_V2_SCREEN,NOT_APPLICABLE_PREDICTION,false,true,false,false,false,false,"Exact-matched Critic V2 Development control-screen arm; only the full arm enters the frozen hurdle comparison, and no row is external confirmation.",audits/route_a_v3_route2_v332_matched_budget_terminal_input_snapshot_v1.json;audits/route_a_v3_route2_critic_v2_control_terminal_no_go_v1.json
P-MB-05,PREDICTION,FROZEN_STRONGEST_SAME_INFORMATION_HURDLE,method_repair_global_scaled_seed20260821,FROZEN_STRONGEST_SAME_INFORMATION_BASELINE,NINE_TASK_TRANSFERABLE_CONTEXT,EXECUTED_FROZEN_DEVELOPMENT_HURDLE,task_macro_spearman,0.13171439492559175,task_macro_standardized_mae,1.806657840788394,,18293,,20260821,0,A100_80GB_PHYSICAL_GPU_RECORDED_WITHIN_GPU0_5,,,,,22120,3,,,,,,,,592.63427734375,1838.011361837387,RECORDED_IN_FROZEN_TERMINAL_SUMMARY,,FROZEN_SAME_INFORMATION_COMMON_VALIDATION_SCOPE,FROZEN_SAME_INFORMATION_HURDLE_SPLIT,STRONGEST_SAME_INFORMATION_BASELINE,SAME_INFORMATION_HURDLE_NOT_UPDATE_BUDGET_MATCHED_TO_CRITIC_V2,NOT_APPLICABLE_PREDICTION,true,true,false,false,false,false,"Frozen same-information Development hurdle, but not exact update-budget matched: 22120 versus 559900 optimizer steps; parameter counts and training epochs are not co-located in the frozen summary snapshot.",audits/route_a_v3_route2_v332_matched_budget_terminal_input_snapshot_v1.json;configs/route_a_v3_route2_mrnabert_critic_v2_protocol_v1.json
G-MB-01,GENERATION,GENERATION_MATCHED_DEVELOPMENT_SUB_STOP,random_legal,random legal,891_SOURCE_OPEN_GENERATED_SUPPORT,EXECUTED_TERMINAL_MATCHED_DEVELOPMENT,source_macro_independent_evaluator_max_uplift_over_source,0.8895981152584791,source_macro_candidate_recovery_rate,0.07697343808454919,,,891,,,A100_80GB_TERMINAL_COHORT_PHYSICAL_INDEX_NOT_RETAINED_IN_RESULT_TABLE,,,,,,,SUB_PLUS_STOP,1|3|5,28512,32,256,320,64.00448933782268,30.6826171875,,NOT_RECORDED_NO_TERMINAL_RERUN,37.89674758911133,EXACT_FROZEN_891_SOURCE_COHORT,NOT_APPLICABLE_COMMON_GENERATION_COHORT,MATCHED_AVAILABLE_SOURCE_ACTION_AND_FROZEN_EVALUATOR,ALGORITHM_SPECIFIC_TRAINING_OR_HPO_NOT_COMMONLY_PARAMETERIZED,MATCHED_SOURCE_ACTION_EDIT_CANDIDATE_CRITIC_AND_TOTAL_FORWARD_CAPS,false,true,false,false,false,false,Terminal Development generation method under matched source/action/edit/candidate/forward caps. Algorithm-specific training/HPO is not a common numeric budget; independent-evaluator uplift and sparse measured recovery are not biological outcomes.,docs/paper/route2_v332_generation_baseline_table_v1.csv;audits/route_a_v3_route2_generation_action_space_geometry_v1.json
G-MB-02,GENERATION,GENERATION_MATCHED_DEVELOPMENT_SUB_STOP,greedy,greedy,891_SOURCE_OPEN_GENERATED_SUPPORT,EXECUTED_TERMINAL_MATCHED_DEVELOPMENT,source_macro_independent_evaluator_max_uplift_over_source,0.7978649849258154,source_macro_candidate_recovery_rate,0.06584362139917695,,,891,,,A100_80GB_TERMINAL_COHORT_PHYSICAL_INDEX_NOT_RETAINED_IN_RESULT_TABLE,,,,,,,SUB_PLUS_STOP,1|3|5,28512,32,256,320,266.6094276094276,30.6826171875,,NOT_RECORDED_NO_TERMINAL_RERUN,38.14377760887146,EXACT_FROZEN_891_SOURCE_COHORT,NOT_APPLICABLE_COMMON_GENERATION_COHORT,MATCHED_AVAILABLE_SOURCE_ACTION_AND_FROZEN_EVALUATOR,ALGORITHM_SPECIFIC_TRAINING_OR_HPO_NOT_COMMONLY_PARAMETERIZED,MATCHED_SOURCE_ACTION_EDIT_CANDIDATE_CRITIC_AND_TOTAL_FORWARD_CAPS,false,true,false,false,false,false,Terminal Development generation method under matched source/action/edit/candidate/forward caps. Algorithm-specific training/HPO is not a common numeric budget; independent-evaluator uplift and sparse measured recovery are not biological outcomes.,docs/paper/route2_v332_generation_baseline_table_v1.csv;audits/route_a_v3_route2_generation_action_space_geometry_v1.json
G-MB-03,GENERATION,GENERATION_MATCHED_DEVELOPMENT_SUB_STOP,beam,beam,891_SOURCE_OPEN_GENERATED_SUPPORT,EXECUTED_TERMINAL_MATCHED_DEVELOPMENT,source_macro_independent_evaluator_max_uplift_over_source,0.753651145139059,source_macro_candidate_recovery_rate,0.08024691358024691,,,891,,,A100_80GB_TERMINAL_COHORT_PHYSICAL_INDEX_NOT_RETAINED_IN_RESULT_TABLE,,,,,,,SUB_PLUS_STOP,1|3|5,28512,32,256,320,266.6094276094276,30.6826171875,,NOT_RECORDED_NO_TERMINAL_RERUN,35.27938985824585,EXACT_FROZEN_891_SOURCE_COHORT,NOT_APPLICABLE_COMMON_GENERATION_COHORT,MATCHED_AVAILABLE_SOURCE_ACTION_AND_FROZEN_EVALUATOR,ALGORITHM_SPECIFIC_TRAINING_OR_HPO_NOT_COMMONLY_PARAMETERIZED,MATCHED_SOURCE_ACTION_EDIT_CANDIDATE_CRITIC_AND_TOTAL_FORWARD_CAPS,false,true,false,false,false,false,Terminal Development generation method under matched source/action/edit/candidate/forward caps. Algorithm-specific training/HPO is not a common numeric budget; independent-evaluator uplift and sparse measured recovery are not biological outcomes.,docs/paper/route2_v332_generation_baseline_table_v1.csv;audits/route_a_v3_route2_generation_action_space_geometry_v1.json
G-MB-04,GENERATION,GENERATION_MATCHED_DEVELOPMENT_SUB_STOP,genetic,genetic,891_SOURCE_OPEN_GENERATED_SUPPORT,EXECUTED_TERMINAL_MATCHED_DEVELOPMENT,source_macro_independent_evaluator_max_uplift_over_source,1.0978248587628674,source_macro_candidate_recovery_rate,0.05443322109988777,,,891,,,A100_80GB_TERMINAL_COHORT_PHYSICAL_INDEX_NOT_RETAINED_IN_RESULT_TABLE,,,,,,,SUB_PLUS_STOP,1|3|5,28512,32,256,320,231.4668911335578,30.6826171875,,NOT_RECORDED_NO_TERMINAL_RERUN,37.6322386264801,EXACT_FROZEN_891_SOURCE_COHORT,NOT_APPLICABLE_COMMON_GENERATION_COHORT,MATCHED_AVAILABLE_SOURCE_ACTION_AND_FROZEN_EVALUATOR,ALGORITHM_SPECIFIC_TRAINING_OR_HPO_NOT_COMMONLY_PARAMETERIZED,MATCHED_SOURCE_ACTION_EDIT_CANDIDATE_CRITIC_AND_TOTAL_FORWARD_CAPS,false,true,false,false,false,false,Terminal Development generation method under matched source/action/edit/candidate/forward caps. Algorithm-specific training/HPO is not a common numeric budget; independent-evaluator uplift and sparse measured recovery are not biological outcomes.,docs/paper/route2_v332_generation_baseline_table_v1.csv;audits/route_a_v3_route2_generation_action_space_geometry_v1.json
G-MB-05,GENERATION,GENERATION_MATCHED_DEVELOPMENT_SUB_STOP,local_search,simulated annealing/local search,891_SOURCE_OPEN_GENERATED_SUPPORT,EXECUTED_TERMINAL_MATCHED_DEVELOPMENT,source_macro_independent_evaluator_max_uplift_over_source,0.8681430120928386,source_macro_candidate_recovery_rate,0.0036475869809203137,,,891,,,A100_80GB_TERMINAL_COHORT_PHYSICAL_INDEX_NOT_RETAINED_IN_RESULT_TABLE,,,,,,,SUB_PLUS_STOP,1|3|5,21027,32,256,320,200.97755331088663,30.6826171875,,NOT_RECORDED_NO_TERMINAL_RERUN,34.636573791503906,EXACT_FROZEN_891_SOURCE_COHORT,NOT_APPLICABLE_COMMON_GENERATION_COHORT,MATCHED_AVAILABLE_SOURCE_ACTION_AND_FROZEN_EVALUATOR,ALGORITHM_SPECIFIC_TRAINING_OR_HPO_NOT_COMMONLY_PARAMETERIZED,MATCHED_SOURCE_ACTION_EDIT_CANDIDATE_CRITIC_AND_TOTAL_FORWARD_CAPS,false,true,false,false,false,false,Terminal Development generation method under matched source/action/edit/candidate/forward caps. Algorithm-specific training/HPO is not a common numeric budget; independent-evaluator uplift and sparse measured recovery are not biological outcomes.,docs/paper/route2_v332_generation_baseline_table_v1.csv;audits/route_a_v3_route2_generation_action_space_geometry_v1.json
