review_packet_row_id,study_unit_id,current_analysis_role_v332,outcome_exposure,provider_family,repository_name,accession_landing_url,provider_policy_url,provider_policy_exception,nature_data_access_route,dataset_citation_action,automated_accession_resolution_status,automated_analysis_publication_use_supported,automated_study_specific_license_record_present,automated_project_payload_redistribution_authorized,machine_publication_boundary,provider_evidence_source_path,human_review_status,reviewer_name,reviewer_role,reviewer_affiliation,review_date_iso,accession_landing_and_non_outcome_metadata_verified,non_outcome_dataset_content_scope_verified,primary_dataset_citation_verified,study_specific_rights_source_url,study_specific_rights_source_type,study_specific_license_or_terms,analysis_and_publication_use_decision,project_payload_redistribution_decision,authorized_exact_file_scope,restriction_or_hold_reason,target_journal_name,target_journal_policy_checked,data_availability_wording_approved,accountable_human_signoff,reviewer_notes,development_test_read,new_final_evaluation_read,emtab10902_outcome_read,sealed_gse246381_read,guided_xeditflow_run
RHR-01,GSE200304,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200304,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-02,GSE114002,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114002,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-03,GSE149487,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149487,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-04,GSE217518,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217518,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-05,ENCSR854RUF,DEVELOPMENT,DEVELOPMENT_EXPOSED,ENCODE,ENCODE Data Coordination Center,https://www.encodeproject.org/publication-data/ENCSR854RUF/,https://www.encodeproject.org/about/data-use-policy/,The reviewed provider policy does not separately adjudicate this project's repackaging or redistribution of the exact downloaded asset bundle.,REUSED_PUBLIC_SOURCE_PROVIDER_USE_POLICY_LICENSE_REVIEW_PENDING,CITE_ENCODE_ACCESSION_AND_ORIGINAL_DATASET_SOURCE,OFFICIAL_LANDING_HTTP_200_REDIRECT_PUBLICATION_DATA,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-06,GSE186455,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186455,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-07,GSE256185,DEVELOPMENT,DEVELOPMENT_PREFLIGHT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256185,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-08,GSE269595,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269595,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-09,GSE232572,HISTORICAL_OUTCOME_EXPOSED_TRANSFER_DIAGNOSTIC_NOT_FINAL_CONFIRMATION,OUTCOME_EXPOSED_BY_EXISTING_ZERO_SHOT,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232572,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-10,E-MTAB-10902,CONVERSION_FAILURE_ONLY_OUTCOME_NOT_READ,OUTCOME_NOT_READ,EMBL_EBI_BIOSTUDIES_ARRAYEXPRESS,EMBL-EBI BioStudies ArrayExpress collection,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10902,https://www.ebi.ac.uk/biostudies/submit,"BioStudies states that new datasets use CC0, but that scope was not proven to apply retrospectively to this migrated E-MTAB record.",REUSED_PUBLIC_SOURCE_MIGRATED_RECORD_LICENSE_UNKNOWN,CITE_BIOSTUDIES_ARRAYEXPRESS_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_BIOSTUDIES_API_ACCESSION_RETURNED_LICENSE_FIELD_ABSENT,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-11,GSE145046,AUXILIARY,AUXILIARY_ONLY,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145046,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-12,GSE207584,NEGATIVE_CONTROL,AGGREGATE_ONLY,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207584,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-13,GSE261709,NEGATIVE_CONTROL,AGGREGATE_ONLY,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261709,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
RHR-14,GSE246381,SEALED_EXCLUDED,SEALED_NOT_READ,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246381,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,true,false,false,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,docs/paper/route2_v332_study_rights_provider_evidence_table_v1.csv,PENDING,,,,,,,,,,,,,,,,,,,,false,false,false,false,false
