provider_evidence_row_id,study_unit_id,current_analysis_role_v332,outcome_exposure,provider_family,repository_name,accession_landing_url,accession_resolution_status,provider_policy_url,provider_policy_version_or_date,official_provider_policy_bound,provider_access_supported,provider_analysis_and_publication_use_supported,provider_distribution_policy,provider_policy_exception,study_specific_license_record_present,study_specific_license_value,nature_data_access_route,dataset_citation_action,target_journal_status,fair_findable,fair_accessible_metadata,fair_interoperable_metadata_assessed,fair_reusable_license_complete,prior_declared_public_redistribution_allowed,prior_declaration_scope,project_payload_redistribution_authorized,accountable_human_review_status,accountable_human_review_action,publication_boundary,source_snapshot_path,development_test_read,new_final_evaluation_read,emtab10902_outcome_read,sealed_gse246381_read,guided_xeditflow_run
RPE-01,GSE200304,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200304,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,LAST_MODIFIED_2026-07-08,true,true,true,NCBI_NO_RESTRICTION_WITH_SUBMITTER_IP_EXCEPTION,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",false,,REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,,SOURCE_METADATA_NOT_DATASET_REDISTRIBUTION_AUTHORITY,false,PENDING,VERIFY_SUBMITTER_OR_PUBLISHER_RIGHTS_AND_FILE_LEVEL_TERMS,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
RPE-02,GSE114002,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE114002,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,LAST_MODIFIED_2026-07-08,true,true,true,NCBI_NO_RESTRICTION_WITH_SUBMITTER_IP_EXCEPTION,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",false,,REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,false,PENDING,VERIFY_SUBMITTER_OR_PUBLISHER_RIGHTS_AND_FILE_LEVEL_TERMS,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
RPE-03,GSE149487,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149487,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,LAST_MODIFIED_2026-07-08,true,true,true,NCBI_NO_RESTRICTION_WITH_SUBMITTER_IP_EXCEPTION,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",false,,REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,false,PENDING,VERIFY_SUBMITTER_OR_PUBLISHER_RIGHTS_AND_FILE_LEVEL_TERMS,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
RPE-04,GSE217518,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217518,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,LAST_MODIFIED_2026-07-08,true,true,true,NCBI_NO_RESTRICTION_WITH_SUBMITTER_IP_EXCEPTION,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",false,,REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,true,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,false,PENDING,VERIFY_SUBMITTER_OR_PUBLISHER_RIGHTS_AND_FILE_LEVEL_TERMS,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
RPE-05,ENCSR854RUF,DEVELOPMENT,DEVELOPMENT_EXPOSED,ENCODE,ENCODE Data Coordination Center,https://www.encodeproject.org/publication-data/ENCSR854RUF/,OFFICIAL_LANDING_HTTP_200_REDIRECT_PUBLICATION_DATA,https://www.encodeproject.org/about/data-use-policy/,UPDATED_2019-01-09,true,true,true,UNRESTRICTED_USE_POLICY_PROJECT_REPACKAGING_NOT_SEPARATELY_ADJUDICATED,The reviewed provider policy does not separately adjudicate this project's repackaging or redistribution of the exact downloaded asset bundle.,false,,REUSED_PUBLIC_SOURCE_PROVIDER_USE_POLICY_LICENSE_REVIEW_PENDING,CITE_ENCODE_ACCESSION_AND_ORIGINAL_DATASET_SOURCE,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,false,PENDING,VERIFY_EXACT_ASSET_TERMS_AND_REPACKAGING_SCOPE,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
RPE-06,GSE186455,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186455,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,LAST_MODIFIED_2026-07-08,true,true,true,NCBI_NO_RESTRICTION_WITH_SUBMITTER_IP_EXCEPTION,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",false,,REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,false,PENDING,VERIFY_SUBMITTER_OR_PUBLISHER_RIGHTS_AND_FILE_LEVEL_TERMS,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
RPE-07,GSE256185,DEVELOPMENT,DEVELOPMENT_PREFLIGHT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256185,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,LAST_MODIFIED_2026-07-08,true,true,true,NCBI_NO_RESTRICTION_WITH_SUBMITTER_IP_EXCEPTION,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",false,,REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,false,FROZEN_ASSET_PREFLIGHT_POLICY_NOT_GENERAL_LICENSE_VERIFICATION,false,PENDING,VERIFY_SUBMITTER_OR_PUBLISHER_RIGHTS_AND_FILE_LEVEL_TERMS,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
RPE-08,GSE269595,DEVELOPMENT,DEVELOPMENT_EXPOSED,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269595,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,LAST_MODIFIED_2026-07-08,true,true,true,NCBI_NO_RESTRICTION_WITH_SUBMITTER_IP_EXCEPTION,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",false,,REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,false,PENDING,VERIFY_SUBMITTER_OR_PUBLISHER_RIGHTS_AND_FILE_LEVEL_TERMS,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
RPE-09,GSE232572,HISTORICAL_OUTCOME_EXPOSED_TRANSFER_DIAGNOSTIC_NOT_FINAL_CONFIRMATION,OUTCOME_EXPOSED_BY_EXISTING_ZERO_SHOT,NCBI_GEO,NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232572,OFFICIAL_NCBI_GDS_BATCH_ACCESSION_RETURNED,https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html,LAST_MODIFIED_2026-07-08,true,true,true,NCBI_NO_RESTRICTION_WITH_SUBMITTER_IP_EXCEPTION,"Submitters may retain patent, copyright or other intellectual-property rights; NCBI cannot grant unrestricted permission for every submitted item.",false,,REUSED_PUBLIC_SOURCE_PROVIDER_IP_EXCEPTION,CITE_GEO_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,false,CONVERTER_OUTPUT_POLICY_NOT_LICENSE_VERIFICATION,false,PENDING,VERIFY_SUBMITTER_OR_PUBLISHER_RIGHTS_AND_FILE_LEVEL_TERMS,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
RPE-10,E-MTAB-10902,CONVERSION_FAILURE_ONLY_OUTCOME_NOT_READ,OUTCOME_NOT_READ,EMBL_EBI_BIOSTUDIES_ARRAYEXPRESS,EMBL-EBI BioStudies ArrayExpress collection,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10902,OFFICIAL_BIOSTUDIES_API_ACCESSION_RETURNED_LICENSE_FIELD_ABSENT,https://www.ebi.ac.uk/biostudies/submit,ARRAYEXPRESS_MIGRATED_2022-09-30_POLICY_OBSERVED_2026-08-22,true,true,true,NEW_DATASET_CC0_SCOPE_NOT_BOUND_TO_MIGRATED_E_MTAB_RECORD,"BioStudies states that new datasets use CC0, but that scope was not proven to apply retrospectively to this migrated E-MTAB record.",false,,REUSED_PUBLIC_SOURCE_MIGRATED_RECORD_LICENSE_UNKNOWN,CITE_BIOSTUDIES_ARRAYEXPRESS_ACCESSION_AND_PRIMARY_DATASET_PUBLICATION,TARGET_JOURNAL_PENDING_SPRINGER_NATURE_POLICY_BASELINE_ONLY,true,true,false,false,,NO_CURRENT_STUDY_BOUND_RIGHTS_DECLARATION,false,PENDING,VERIFY_MIGRATED_RECORD_FILE_LEVEL_LICENSE_AND_REUSE_TERMS,CITE_ACCESSION_AND_REPORT_AGGREGATES_DO_NOT_REDISTRIBUTE_PROJECT_STUDY_PAYLOAD,audits/route_a_v3_route2_v332_rights_provider_official_source_snapshot_v1.json,false,false,false,false,false
