row_id,track,comparison_axis,comparison_group,method_id,task_scope,result_status,primary_metric_name,primary_metric_value,secondary_metric_name,secondary_metric_value,record_or_source_count,parameter_count,common_canonical_split,information_match_status,native_track_status,headline_horizontal_comparison_eligible,scientific_success_established,development_test_accessed,new_final_evaluation_accessed,guided_executed,primary_limitation,evidence_locator
A-01,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::Optimus5Prime,Optimus5Prime,ORIGINAL_PAPER_TASK_OR_INTERFACE,OFFICIAL_REPOSITORY_WEIGHT_PORT_PARITY_PENDING,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,OFFICIAL_REPOSITORY_WEIGHT_PORT_PARITY_PENDING,false,false,false,false,false,No original-paper numeric benchmark reproduction is retained in the Route 2 evidence packet.,configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
A-02,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::FramePool,FramePool,ORIGINAL_PAPER_TASK_OR_INTERFACE,OFFICIAL_REPOSITORY_WEIGHT_PORT_PARITY_PENDING,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,OFFICIAL_REPOSITORY_WEIGHT_PORT_PARITY_PENDING,false,false,false,false,false,No original-paper numeric benchmark reproduction is retained in the Route 2 evidence packet.,configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
A-03,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::RNA-FM_MULTI_MOLECULE_CONVERSION,RNA-FM_MULTI_MOLECULE_CONVERSION,ORIGINAL_PAPER_TASK_OR_INTERFACE,UNOFFICIAL_MULTIMOLECULE_CONVERSION_GPU_LOAD_SMOKE_ONLY,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,UNOFFICIAL_MULTIMOLECULE_CONVERSION_GPU_LOAD_SMOKE_ONLY,false,false,false,false,false,No original-paper numeric benchmark reproduction is retained in the Route 2 evidence packet.,configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
A-04,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::UTR-LM,UTR-LM,ORIGINAL_PAPER_TASK_OR_INTERFACE,OFFICIAL_STRICT_CHECKPOINT_GPU_SMOKE_ONLY,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,OFFICIAL_STRICT_CHECKPOINT_GPU_SMOKE_ONLY,false,false,false,false,false,No original-paper numeric benchmark reproduction is retained in the Route 2 evidence packet.,configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
A-05,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::APARENT,APARENT,ORIGINAL_PAPER_TASK_OR_INTERFACE,OFFICIAL_NOTEBOOK_EXAMPLE_PARITY_ONLY,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,OFFICIAL_NOTEBOOK_EXAMPLE_PARITY_ONLY,false,false,false,false,false,No original-paper numeric benchmark reproduction is retained in the Route 2 evidence packet.,configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
A-06,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::RNA-FM_MULTI_MOLECULE_BOTTLENECK_ADAPTER,RNA-FM_MULTI_MOLECULE_BOTTLENECK_ADAPTER,ORIGINAL_PAPER_TASK_OR_INTERFACE,NOT_APPLICABLE_DERIVED_COMMON_TASK_ADAPTER,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,NOT_APPLICABLE_DERIVED_COMMON_TASK_ADAPTER,false,false,false,false,false,"This learned bottleneck is a Route 2 adapter, not an original native model task.",configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
A-07,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::RiNALMo,RiNALMo,ORIGINAL_PAPER_TASK_OR_INTERFACE,LITERATURE_ONLY_NOT_EXECUTED,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,LITERATURE_ONLY_NOT_EXECUTED,false,false,false,false,false,No Route 2 common-task adapter and frozen official checkpoint were prepared within the current execution budget.,configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
A-08,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::Orthrus,Orthrus,ORIGINAL_PAPER_TASK_OR_INTERFACE,LITERATURE_ONLY_NOT_EXECUTED,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,LITERATURE_ONLY_NOT_EXECUTED,false,false,false,false,false,No existing project checkpoint was shown to expose the same frozen Route 2 source-relative task interface.,configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
A-09,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::APARENT-Perturb,APARENT-Perturb,ORIGINAL_PAPER_TASK_OR_INTERFACE,LITERATURE_ONLY_TASK_MISMATCH,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,LITERATURE_ONLY_TASK_MISMATCH,false,false,false,false,false,The available Route 2 APA task does not freeze a matching perturbation and biological-context interface for this native-context reference.,configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
A-10,NATIVE_REPRODUCTION,ORIGINAL_PAPER_TASK_CAPABILITY,NATIVE::mRNABERT,mRNABERT,ORIGINAL_PAPER_TASK_OR_INTERFACE,OFFICIAL_ROUTE2_INTEGRATION_COMPLETE_NATIVE_PAPER_TASK_METRIC_NOT_REPRODUCED,,,,,,,false,NATIVE_TASK_NOT_CURRENT_CANONICAL_ESTIMAND,OFFICIAL_ROUTE2_INTEGRATION_COMPLETE_NATIVE_PAPER_TASK_METRIC_NOT_REPRODUCED,false,false,false,false,false,"Official checkpoint/tokenizer integration is real, but no original-paper native-task metric is reproduced in this table.",configs/route_a_v3_route2_external_model_provenance_v1.json;configs/route_a_v3_route2_baseline_inventory_v1.json
